title;author_info;rating;pros;cons;date
Eine gute Entscheidung;Mitarbeiter im Bereich Anonym in Schwarzheide, Deutschland;4.0;Freie Einteilung der Arbeitszeit, Team- und Arbeitskultur, gute Abstimmung mit Vorgesetzten und Kollegen zu Aufgaben und Prioritäten;"Die Teeküche könnte ""wohnlicher"" gestaltet und des Teamgefühl in Coronazeiten könnte proaktiver organisiert werden. Versorgung über die Kantine könnte ausgewogener sein.";30. Nov 20
Hier kann man seine Talente einbringen;Senior Manager in Ludwigshafen am Rhein, Deutschland;5.0;Ausdrückliche Flexibilität und Freiheit. Es steht das Ergebnis und der Termin im Mittelpunkt, nicht das wo es gemacht wurde und wann.;Ausdrückliche Flexibilität und Freiheit. Es steht das Ergebnis und der Termin im Mittelpunkt, nicht das wo es gemacht wurde und wann.; 15. Oktober 2020
Sicherer Arbeitgeber;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;3.0;International, viele verschiedene Themen die man kennenlernt, sehr motivierte Kollegen, gute Benefits, Sicherheit, Lage des Unternehmens;International, viele verschiedene Themen die man kennenlernt, sehr motivierte Kollegen, gute Benefits, Sicherheit, Lage des Unternehmens;01. Okt 20
unbeweglich, starrsinnig, technisch ansprechend und gut zahlend;Mitarbeiter im Bereich Ingenieurwesen in Münster, Deutschland;1.0;Immer wieder schöne Kombinationsfähigkeit von chemischen Basiswissen und anwendungstechnischer Realität. Von wegen im Studium lernt man nichts fürs Arbeitsleben :-);Immer wieder schöne Kombinationsfähigkeit von chemischen Basiswissen und anwendungstechnischer Realität. Von wegen im Studium lernt man nichts fürs Arbeitsleben :-);2018
Klassischer Großkonzern, fühle mich hier sehr wohl;Mitarbeiter im Bereich Beratung in Limburgerhof, Deutschland;5.0;Offene Atmosphäre, Kollegialität, spannende Projekte, internationales Umfeld, Sicherheit und Finanzkraft eines Großkonzerns verbunden mit der Schlagkraft eines Mittelständlers;Offene Atmosphäre, Kollegialität, spannende Projekte, internationales Umfeld, Sicherheit und Finanzkraft eines Großkonzerns verbunden mit der Schlagkraft eines Mittelständlers;19. Dez 19
Sicherer Arbeitsgeber mit Fortbildungmöglichkeiten und starren Hierarchien;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;3.0;Sicheres Gehalt, prinzipiell gibt es diverse Stellen in verschiedenen Bereichen. Relativ gute Kantine. Viele Fortbildungmöglichkeiten.;Sicheres Gehalt, prinzipiell gibt es diverse Stellen in verschiedenen Bereichen. Relativ gute Kantine. Viele Fortbildungmöglichkeiten.;19. Dez 19
Von außen Hui, von innen so-lala.;Senior Manager in Ludwigshafen am Rhein, Deutschland;4.0;Sehr hohe Durchschnittsgehälter und Boni sowie weitere Sozialleistungen. Hohe Freiheitsgrade bei der Durchführung der Aufgaben. Zeitlich sehr flexibel.;Sehr hohe Durchschnittsgehälter und Boni sowie weitere Sozialleistungen. Hohe Freiheitsgrade bei der Durchführung der Aufgaben. Zeitlich sehr flexibel.;19. Dez 19
Wo viel Licht da viel Schatten;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;2.0;Die Vielfältigkeit der bearbeiteten Themen, die Internationalität des Unternehmens und ihrer Märkte, die Produkte der BASF;Die Fachkompetenz und Entscheidungsfreudigkeit der oberen Führungskraft. Die Vereinfachung der Arbietsprozesse. Das Mitarbeiterbewertungssystem und der daran gekoppelte variable Gehaltsanteil.;19. Dez 19
Solider Arbeitgeber;Mitarbeiter im Bereich Chemie in Ludwigshafen am Rhein, Deutschland;3.0;Großes Werk, viele unterschiedliche Möglichkeiten sich bei der Arbeit zu entfalten. Sozusagen viele kleine Werke in einem Standort vereint.;Weniger Ellenbogengesellschaft unter den Kollegen. Mehr Wissensweitergabe unter Kollegen währe erstrebenswert. Persönlichere Antwortschreiben bei der Bewerbung;2017
Toller Arbeitgeber;Mitarbeiter im Bereich Fertigung, Produktion in Würzburg, Deutschland;4.0;Der Zusammenhalt in der Gruppe und die Kommunikation zwischen Vorgesetzten und Mitarbeiter. Familienfreundlich. Guter Lohn;Soweit alles gut, sozialräume gut ausgestattet. Kantine gute Auswahl an Produkten und essen. Netter umgang; 17. Dezember 2019
